Epoch,Phase,Loss,Accuracy
1,train,0.4675496090860928,0.8215686274509804
1,val,0.2624759328670991,0.9512820512820512
2,train,0.3132268988618664,0.8823529411764706
2,val,0.16680691843995682,0.9692307692307692
3,train,0.2510735739095538,0.9107843137254902
3,val,0.14258138581346244,0.9692307692307692
4,train,0.2170200059226915,0.9166666666666666
4,val,0.1259881499581612,0.9692307692307692
5,train,0.22829489287208107,0.9098039215686274
5,val,0.13664661922898047,0.9615384615384616
6,train,0.20199942378436817,0.9196078431372549
6,val,0.11585594227489752,0.9641025641025641
7,train,0.19336280220863866,0.9294117647058824
7,val,0.10412040249181864,0.9717948717948718
8,train,0.21535605899259155,0.9225490196078432
8,val,0.11090357995186097,0.9641025641025641
9,train,0.20624889491819867,0.9294117647058824
9,val,0.11451954435413847,0.9641025641025641
10,train,0.19199746724437264,0.9343137254901961
10,val,0.10919126174770868,0.9641025641025641
11,train,0.20361264060233153,0.9254901960784314
11,val,0.10227493109802405,0.9717948717948718
12,train,0.18176724019588208,0.9294117647058824
12,val,0.12367601008751454,0.9564102564102565
13,train,0.20028236105161554,0.9196078431372549
13,val,0.09816062975292787,0.9717948717948718
14,train,0.22574591776903938,0.9166666666666666
14,val,0.11384855898527,0.9641025641025641
15,train,0.2037442952686665,0.9235294117647059
15,val,0.09451667413784143,0.9717948717948718
